DATE_TIME,DIAMETER,GRADE,CHEM1,CHEM2,CHEM3,CHEM4,CHEM5,CHEM6,CHEM7,CHEM8,CHEM9,CHEM10,TEMP1,TEMP2,TEMP3,QUALITY1,TEMP4,SPEED,PROCESS1,PROCESS2,PROCESS3,TEMP5,TEMP6,QUALITY2,ID,uts/ys
2022-10-15 15:50:00,10,GR1,0.22,1.305,0.013,0.016,0.222,0.003,0.0002,0.03,0.005,56.0,920,991.0,136,723.384,242,27,1524,2531,1.35,606.0,511,627.804,A92721,1.1522449681747808
2022-10-15 04:15:00,10,GR1,0.22,1.323,0.012,0.021,0.243,0.003,0.0004,0.026,0.003,52.0,867,848.0,56,717.5245,192,26,2597,3439,1.34,627.0,616,616.373,A81028,1.1641076101646242
2022-11-09 10:25:00,10,GR1,0.22,1.329,0.019,0.031,0.223,0.003,0.0002,0.049,0.009,73.0,908,849.0,78,726.058,271,32,2112,3038,1.34,559.0,620,608.305,A91363,1.1935755911919186
2022-09-13 07:30:00,10,GR1,0.234,1.29,0.015,0.021,0.242,0.003,0.0007,0.029,0.006,60.0,1142,1128.0,144,719.239,303,27,1447,2805,1.34,554.0,587,605.153,A31469,1.1885242244523286
2022-10-09 23:15:00,10,GR1,0.225,1.3,0.02,0.028,0.22,0.002,0.0002,0.031,0.006,50.0,1035,882.0,120,710.861,175,32,2205,3276,1.34,577.0,592,605.719,A81933,1.1735821395729702
2022-11-09 16:30:00,10,GR1,0.24,1.28,0.018,0.029,0.22,0.002,0.0008,0.028,0.004,51.0,1074,1090.0,74,714.146,237,30,1523,2627,1.36,621.0,543,608.586,A13189,1.17345124600303
2022-12-09 14:15:00,10,GR1,0.23,1.253,0.024,0.023,0.22,0.003,0.002,0.033,0.006,63.0,992,1125.0,9,708.252,211,30,2157,2858,1.35,641.0,549,604.279,A93241,1.1720612498531306
2022-12-09 03:30:00,10,GR1,0.249,1.29,0.012,0.026,0.237,0.003,0.0011,0.028,0.004,49.0,1076,1107.0,16,740.641,126,26,1776,2660,1.35,580.0,572,628.822,A11409,1.1778229769314685
2022-12-09 02:55:00,10,GR1,0.249,1.29,0.012,0.026,0.237,0.003,0.0011,0.028,0.004,49.0,897,876.0,124,719.331,10,27,2358,1931,1.35,566.0,520,607.331,A19140,1.1844134417640464
2022-12-09 06:25:00,10,GR1,0.227,1.321,0.014,0.03,0.217,0.003,0.0005,0.026,0.01,51.0,976,1036.0,131,701.388,288,31,2304,2557,1.35,524.0,587,606.355,A61094,1.1567283192189395
