DATE_TIME,DIAMETER,GRADE,CHEM1,CHEM2,CHEM3,CHEM4,CHEM5,CHEM6,CHEM7,CHEM8,CHEM9,CHEM10,TEMP1,TEMP2,TEMP3,QUALITY1,TEMP4,SPEED,PROCESS1,PROCESS2,PEOCESS3,TEMP5,TEMP6,QUALITY2,ID
2022-09-23 04:10:00,12,GR1,0.22,1.311,0.02,0.025,0.218,0.0027,0.0029,0.0299,0.0096,50.0,1055,995.0,95,706.3,104,26,2147,2082,1.34,583.0,551,599.521,A50210
2022-09-23 05:40:00,12,GR1,0.23,1.28,0.02,0.03,0.233,0.0027,0.0024,0.0256,0.0073,58.0,962,1135.0,75,688.084,178,17,2232,2568,1.34,610.0,558,575.203,A52030
2022-09-23 06:20:00,12,GR1,0.22,1.29,0.014,0.032,0.233,0.0028,0.0021,0.0238,0.0073,50.0,1040,1019.0,18,706.335,268,25,3330,2413,1.34,579.0,589,597.285,A05205
2022-09-23 07:25:00,12,GR1,0.229,1.304,0.02,0.04,0.245,0.0029,0.0024,0.024,0.006,48.0,1147,981.0,35,734.016,178,28,2317,1862,1.33,580.0,590,626.942,A00527
2022-09-23 18:10:00,12,GR1,0.234,1.3,0.022,0.034,0.2,0.0026,0.0029,0.0596,0.0069,56.0,1085,1107.0,100,713.345,276,25,3520,1882,1.36,530.0,520,599.838,A20046
2022-09-23 18:40:00,12,GR1,0.228,1.29,0.017,0.036,0.225,0.003,0.0026,0.0462,0.0074,50.0,1089,915.0,65,719.309,223,20,1993,1702,1.36,613.0,556,612.151,A25006
2022-09-23 19:10:00,12,GR1,0.228,1.29,0.017,0.036,0.225,0.003,0.0026,0.0462,0.0074,50.0,1100,900.0,84,696.406,280,17,1870,2024,1.36,523.0,583,582.459,A00256
2022-09-25 07:45:00,12,GR1,0.234,1.266,0.017,0.022,0.246,0.0031,0.0028,0.0304,0.0077,56.0,967,1080.0,53,711.202,76,25,1503,2176,1.36,559.0,514,594.774,A60280
2022-09-25 13:10:00,12,GR1,0.22,1.32,0.015,0.02,0.248,0.0024,0.0031,0.0348,0.0068,45.0,900,1031.0,44,705.358,206,23,1678,2417,1.37,600.0,556,602.678,A07802
2022-09-25 13:40:00,12,GR1,0.222,1.285,0.013,0.036,0.222,0.003,0.0014,0.048,0.005,56.0,1020,1045.0,64,703.05,204,20,3044,2196,1.37,615.0,502,600.164,A00208
2022-09-25 14:10:00,12,GR1,0.222,1.285,0.013,0.036,0.222,0.003,0.0014,0.048,0.005,56.0,1148,1133.0,60,704.22,254,18,1862,3265,1.37,574.0,571,603.528,A00028
2022-09-25 19:30:00,12,GR1,0.227,1.325,0.019,0.033,0.236,0.003,0.0003,0.032,0.003,53.0,940,1122.0,82,693.086,32,25,3166,2882,1.36,590.0,561,589.408,A00288
2022-09-25 20:00:00,12,GR1,0.227,1.325,0.019,0.033,0.236,0.003,0.0003,0.032,0.003,53.0,1047,1038.0,115,701.454,57,18,2445,3237,1.36,608.0,563,587.773,A08802
2022-09-25 23:20:00,12,GR1,0.221,1.285,0.022,0.026,0.241,0.003,0.0005,0.029,0.0057,47.0,1154,945.0,97,711.725,209,24,1830,2274,1.36,595.0,573,600.909,A49020
2022-09-26 06:10:00,12,GR1,0.221,1.343,0.025,0.038,0.249,0.0029,0.0022,0.0362,0.0056,46.0,1117,1045.0,50,712.739,115,19,1905,2360,1.36,573.0,532,597.977,A00128
2022-09-26 06:45:00,12,GR1,0.221,1.343,0.025,0.038,0.249,0.0029,0.0022,0.0362,0.0056,46.0,1131,1057.0,25,728.655,223,28,2695,2125,1.36,565.0,528,604.978,A20180
2022-09-26 08:50:00,12,GR1,0.226,1.302,0.033,0.034,0.242,0.0022,0.0023,0.0301,0.0066,42.0,1129,1008.0,132,698.856,9,19,1957,1899,1.36,641.0,500,595.189,A21001
2022-09-26 23:10:00,12,GR2,0.22,1.12,0.017,0.018,0.17,0.002,0.0004,0.022,0.001,48.0,1154,1105.0,70,684.481,103,22,2589,2743,1.38,556.0,585,587.984,A30122
2022-09-26 23:40:00,12,GR2,0.22,1.12,0.017,0.018,0.17,0.002,0.0004,0.022,0.001,48.0,977,1111.0,117,711.17,168,22,2870,3365,1.38,596.0,512,599.698,A22130
2023-01-21 04:30:00,12,GR1,0.22,1.343,0.018,0.025,0.246,0.003,0.0002,0.027,0.001,46.0,976,1031.0,99,715.942,209,26,1661,2029,1.38,648.0,500,602.956,A10202
2022-10-19 10:35:00,12,GR1,0.215,1.28,0.015,0.02,0.2,0.002,0.0003,0.022,0.001,50.0,909,1046.0,12,703.446,247,23,2750,3212,1.33,627.0,591,602.724,A20501
2022-10-19 11:10:00,12,GR1,0.215,1.28,0.015,0.02,0.2,0.002,0.0003,0.022,0.001,50.0,904,889.0,45,716.814,179,22,3489,2862,1.33,562.0,506,604.87,A12050
2022-10-19 14:50:00,12,GR1,0.231,1.25,0.014,0.036,0.23,0.003,0.0003,0.032,0.001,50.0,923,1121.0,50,718.262,205,27,1946,3447,1.33,504.0,520,594.008,A62650
2022-10-20 00:35:00,12,GR1,0.212,1.31,0.024,0.019,0.217,0.003,0.0003,0.026,0.001,58.0,964,909.0,93,748.537,97,23,2421,2609,1.34,637.0,508,631.762,A29074
2022-10-19 15:20:00,12,GR1,0.23,1.3,0.018,0.033,0.24,0.002,0.0001,0.032,0.005,51.0,1100,1040.0,97,707.91,168,26,3285,3419,1.33,504.0,549,600.148,A43802
2022-10-20 20:40:00,12,GR3,0.221,0.762,0.022,0.026,0.179,0.002,0.0001,0.023,0.002,47.0,1083,930.0,60,669.449,39,27,3292,2978,1.34,588.0,523,568.147,A80992
2022-10-20 06:55:00,12,GR1,0.21,1.29,0.014,0.027,0.24,0.003,0.0011,0.028,0.005,48.0,902,935.0,46,678.996,193,22,3238,3180,1.34,537.0,502,587.707,A21450
2022-10-21 18:45:00,12,GR3,0.204,0.886,0.013,0.023,0.228,0.003,0.001,0.027,0.005,45.0,927,1027.0,69,710.281,18,21,2567,3142,1.34,564.0,532,588.626,A21916
2022-10-20 01:35:00,12,GR1,0.21,1.3,0.013,0.02,0.264,0.003,0.0013,0.027,0.008,47.0,1149,1031.0,76,716.397,100,27,3284,3037,1.34,513.0,559,591.619,A02124
2022-10-20 03:05:00,12,GR1,0.212,1.305,0.013,0.019,0.255,0.002,0.0014,0.029,0.007,48.0,959,964.0,51,716.699,303,27,2812,3123,1.33,565.0,562,600.378,A25612
2022-10-20 03:40:00,12,GR1,0.212,1.305,0.013,0.019,0.255,0.002,0.0014,0.029,0.007,48.0,1131,888.0,121,726.673,124,28,1979,3052,1.34,559.0,549,603.441,A26251
